Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,C,24,TOR,8,0,20.4,3.3,7.3,.448,0.5,2.0,.250,2.8,5.3,.524,.483,0.8,1.1,.667,1.9,4.6,6.5,2.0,0.4,0.4,1.3,1.9,7.8
Bam Adebayo,C,26,MIA,13,13,34.4,8.3,15.5,.537,0.1,0.2,.500,8.2,15.3,.538,.540,6.2,7.5,.825,2.2,8.0,10.2,4.1,1.3,1.1,2.7,2.4,22.8
Ochai Agbaji,SG,23,UTA,13,5,19.1,1.8,4.1,.434,1.0,2.5,.406,0.8,1.6,.476,.557,0.2,0.3,.500,1.0,1.9,2.9,0.9,0.4,0.8,0.6,1.6,4.7
Santi Aldama,PF,23,MEM,7,1,25.7,5.9,12.9,.456,2.1,5.7,.375,3.7,7.1,.520,.539,0.9,1.7,.500,1.3,5.1,6.4,2.6,0.7,0.7,1.7,1.4,14.7
Nickeil Alexander-Walker,SG,25,MIN,13,2,20.8,2.2,5.2,.426,1.2,3.3,.372,1.0,1.9,.520,.544,0.2,0.5,.333,0.2,1.7,1.8,2.5,0.8,0.8,0.9,1.5,5.8
Grayson Allen,SG,28,PHO,13,13,31.9,4.3,9.0,.479,2.7,5.5,.493,1.6,3.5,.457,.628,1.0,1.1,.929,0.9,3.8,4.7,2.7,0.5,0.5,1.7,2.4,12.3
Jarrett Allen,C,25,CLE,8,8,27.0,4.1,6.5,.635,0.0,0.0,,4.1,6.5,.635,.635,3.8,5.1,.732,2.8,4.4,7.1,2.1,0.5,1.4,1.8,2.3,12.0
Jose Alvarado,PG,25,NOP,1,0,15.0,2.0,5.0,.400,1.0,3.0,.333,1.0,2.0,.500,.500,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,5.0
Kyle Anderson,PF,30,MIN,13,0,24.8,3.1,5.5,.556,0.2,0.8,.200,2.9,4.8,.613,.569,1.3,2.1,.630,0.7,3.0,3.7,4.2,1.1,0.9,1.8,1.5,7.6
Giannis Antetokounmpo,PF,29,MIL,13,13,32.7,11.8,19.1,.621,0.5,2.1,.259,11.3,17.0,.665,.635,6.0,9.7,.619,2.4,7.8,10.2,4.6,1.0,1.2,4.2,3.0,30.2
Thanasis Antetokounmpo,PF,31,MIL,6,0,6.7,0.5,1.3,.375,0.0,0.0,,0.5,1.3,.375,.375,0.0,0.0,,0.3,0.0,0.3,0.7,0.2,0.2,0.7,1.2,1.0
Cole Anthony,PG,23,ORL,13,0,24.8,4.2,10.2,.409,1.4,4.0,.346,2.8,6.2,.450,.477,3.7,4.4,.842,0.9,3.6,4.5,3.1,0.7,0.3,2.4,2.7,13.4
OG Anunoby,SF,26,TOR,9,9,30.9,5.8,12.1,.477,2.6,6.9,.371,3.2,5.2,.617,.583,1.4,2.3,.619,0.7,3.4,4.1,1.9,1.3,0.6,1.6,2.3,15.6
Ryan Arcidiacono,PG,29,NYK,5,0,2.2,0.0,0.2,.000,0.0,0.2,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0
